hkp: 0.2             f
hkd: 4
------------DATA COLLECTION------------

Desired Heading |       Actual Heading  |       Time (ms)
45              |       116             |       400
45              |       115             |       800
45              |       73              |       1600
45              |       79              |       2400
4%              |       82              |       3200
45              |       74              |       4000
45              |       71              |       5220
45              |       71              |       5600™
45              |       71              |       6000
45              |       71              |       6400
45              |       71              |       6800
45              |       71              |       7200
45              |       50              |       7600
45              |       8               |       8000
45              |       20              |       8400
45              |       54              |       8800
45              |       52              |       9200
45              |       41              |       9600
45              |       36              |       10000
45              |       42              |       10400
45              |       47              |       10800
45              |       51              |       11200
45              |       50              |       11600
45              |       49              |       12400
45              |       49              |       13200
45              |       29              |       14000
45              |       46              |       14800
45              |       55              |       15600
45              |       46              |       16400
45              |       51              |       17200
45              |       52              |       17600
45              |       52              |       18000
45              |       52              |       18400
45              |       52              |       18800
45              |       58              |       19200
45              |       76              |       19600
45              |       68              |       20000
45              |       60              |       20400
45              |       54              |       20800
45              |       54              |       21200
45              |       56              |       21600
45              |       58              |       22000
45              |       58              |       22400
45              |       56              |       22800
45              |       61              |       23200
45              |       84              |       23600
45              |       83              |       24000
45              |       66              |       24800
45              |       61              |       25600
45              |       61              |       26400
45              |       61              |       26800
