hkp: 0.2             f
hkd: 5
------------DATA COLLECTION------------

Desired Heading |       Actual Heading  |       Time (ms)
45      |       203             |       400
45      |       175             |       800
45      |       170             |       1200
45      |       169             |       1600
45      |       162             |       2400
45      |       151             |       2800
45      |       144             |       3200
45      |       138             |       3600
45      |       136             |       4000
45      |       133             |       4400
45      |       129             |       4800
45      |       126             |       5200
45      |       123             |       5600
45      |       120             |       6000
45      |       118             |       6400
45      |       115             |       6800
45      |       104             |       7200
45      |       102             |       7600
45      |       101             |       8000
45      |       99              |       8400
45      |       97              |       8800
45      |       95              |       9200
45      |       94              |       9600
45      |       92              |       10000
45      |       91              |       10400
45      |       89              |       10800
45      |       88              |       11200
45      |       86              |       11600
45      |       85              |       12000
45      |       83              |       12400
45      |       82              |       12800
45      |       80              |       13200
45      |       79              |       13600
45      |       77              |       14000
45      |       76              |       14400
45      |       73              |       14800
45      |       72              |       15200
45      |       70              |       15600
45      |       69              |       16000
45      |       68              |       16400
45      |       67              |       16800
45      |       66              |       17600
45      |       66              |       18400
45      |       66              |       19200
45      |       66              |       20000
45      |       66              |       20400
45      |       66              |       20800
45      |       66              |       21200
45      |       66              |       21600
45      |       66              |       22000
45      |       66              |       22400
45      |       66              |       23200
45      |       66              |       23600
45      |       66              |       24000
45      |       66              |       24400
45      |       66              |       24800
45      |       66              |       25200
45      |       66              |       25600
45      |       66              |       26000
45      |       66              |       26400
45      |       66              |       26800
45      |       66              |       27200
45      |       66              |       27600
45      |       65              |       28000
45      |       66              |       28400
45      |       65              |       28800
45      |       66              |       29200
45      |       65              |       29600
45      |       66              |       30000
45      |       66              |       30800
45      |       66              |       31200
45      |       65              |       31600
