hkp: 0.8             f
hkd: 5
------------DATA COLLECTION------------

Desired Heading |       Actual Heading  |       Time (ms)
45              |       175             |       400
45              |       172             |       800
45              |       130             |       1200
45              |       60              |       1600
45              |       53              |       2000
45              |       70              |       2400
45              |       81              |       2800
45              |       59              |       3200
45              |       42              |       3600
45              |       44              |       4000
45              |       68              |       4400
45              |       66              |       4800
45              |       46              |       5200
45              |       38              |       5600
45              |       52              |       6000
45              |       61              |       6400
45              |       53              |       6800
45              |       44              |       7200
45              |       43              |       7600
45              |       52              |       8000
45              |       54              |       8400
45              |       51              |       8800
45              |       46              |       9200
45              |       44              |       9600
45              |       45              |       10000
45              |       45              |       10400
45              |       45      |       10800
45              |       46              |       11200
45              |       45              |       11600
45              |       45              |       12000
45              |       32              |       12400
45              |       16              |       12800
45              |       55              |       13200
45              |       75              |       13600
45              |       68              |       14000
45              |       52              |       14400
45              |       41              |       14800
45              |       54              |       15200
45              |       62              |       15600
45              |       48              |       16000
45              |       40              |       16400
45              |       43              |       16800
45              |       56              |       17200
45              |       58              |       17600
45              |       49              |       18000
45              |       43              |       18400
45              |       44              |       18800
45              |       48              |       19200
45              |       51              |       20000
45              |       47              |       20400
45              |       46              |       20800
45              |       47              |       21200
45              |       46              |       21600
45              |       46              |       22000
45              |       47              |       22800
